Ocupacion,Years_Trabajados,Tipo_Trabajo,Ingresos_Mensuales,Tipo_Contrato,Idioma_Casa,Lee_Escribe,Asiste_Asistio,Titulo_Alcanzado,Indice_pobreza,Condicion_pobreza
3,20,1,3500000,3,2,1,1,1,3,0
3,8,2,2500000,1,2,1,1,1,3,0
5,0,2,2500000,4,2,1,1,,3,0
3,16,2,2439139,3,2,1,1,14,3,0
5,10,1,4500000,1,3,1,1,6,3,0
5,8,2,2650000,1,2,1,1,,3,0
9,19,6,1500000,4,2,1,1,,3,0
9,24,1,2600000,1,2,1,1,,3,0
9,25,6,1000000,4,2,1,1,,3,0
9,0,2,2530000,3,2,1,1,14,3,0
9,6,2,2000000,4,2,1,1,,3,0
9,10,6,480000,4,2,1,1,,3,0
5,0,2,2439139,3,2,1,1,,3,0
8,19,1,4100000,1,2,1,1,,3,0
4,8,1,2600000,1,2,1,1,,3,0
4,4,1,2900000,3,2,1,1,,3,0
4,17,2,2600000,3,3,1,1,1,3,0
5,3,2,2550000,4,3,1,1,14,3,0
4,2,2,1800000,4,3,1,1,14,3,0
2,13,1,8000000,1,3,1,1,1,3,0
3,1,2,2500000,2,3,1,1,,3,0
1,11,2,7000000,1,3,1,1,10,3,0
1,0,2,2250000,1,2,1,1,14,3,0
4,1,2,2250000,3,3,1,1,14,3,0
4,0,2,2500000,1,2,1,1,,3,0
7,2,2,2500000,4,3,1,1,1,3,0
3,6,2,3000000,4,3,1,1,14,3,0
1,7,2,5000000,1,3,1,1,14,3,0
4,15,2,3000000,1,3,1,1,14,3,0
3,3,2,2320000,1,2,1,1,1,3,0
7,6,2,3400000,1,3,1,1,14,3,0
7,7,2,3800000,1,3,1,1,7,3,0
5,0,2,2400000,1,3,1,1,,3,0
5,20,2,2500000,4,3,1,1,,3,0
2,16,1,18000000,1,3,1,1,8,3,0
2,20,2,5000000,1,3,1,1,1,3,0
2,25,2,9000000,1,3,1,1,1,3,0
4,17,2,4300000,1,3,1,1,,3,0
5,16,1,6800000,1,2,1,1,6,3,0
5,3,2,2800000,1,3,1,1,,3,0
7,3,2,2400000,4,3,1,1,,3,0
3,18,2,7000000,1,3,1,1,1,3,0
1,3,2,10000000,1,3,1,1,1,3,0
9,0,2,800000,3,3,1,1,1,3,0
4,24,2,2500000,3,3,1,1,,3,0
3,2,1,2800000,1,2,1,1,1,3,0
9,0,2,2600000,4,2,1,1,,3,0
5,8,2,2000000,4,3,1,1,,3,0
3,8,1,9500000,1,3,1,1,1,3,0
1,2,1,6000000,1,3,1,1,14,3,0
3,2,2,4000000,3,3,1,1,1,3,0
5,20,2,4500000,4,2,1,1,,3,0
5,8,2,2300000,1,2,1,1,7,3,0
1,0,2,2800000,1,2,1,1,5,3,0
3,22,2,9000000,1,3,1,1,14,3,0
9,4,6,400000,4,3,1,1,,3,0
3,23,2,7000000,1,2,1,1,10,3,0
2,9,2,15000000,1,3,1,1,1,3,0
5,32,2,1500000,4,3,1,1,,3,0
5,0,2,2000000,4,3,1,1,,3,0
2,23,1,10500000,1,3,1,1,9,3,0
1,0,1,3800000,1,3,1,1,,3,0
4,3,1,3000000,3,3,1,1,,3,0
3,4,2,2700000,1,3,1,1,1,2,1
8,0,2,4500000,4,2,1,1,,3,0
9,1,2,2430000,1,2,1,1,,3,0
5,0,2,1500000,4,3,1,1,14,3,0
1,6,1,10000000,1,3,1,1,10,3,0
9,1,2,2100000,3,3,1,1,1,2,1
8,10,2,2550000,1,1,1,1,,3,0
