Ocupacion,Años_Trabajados,Tipo_Trabajo,Ingresos_Mensuales,Tipo_Contrato,Ingreso_Jubilacion,Idioma_Casa,Lee_Escribe,Asiste_Asistio,Titulo_Alcanzado,Asiste_Actual,Razon_Dejar,indice_pobreza,condicion_pobreza
"5,00","3,00","2,00","2.600.000,00","1,00","0,00","2,00","1,00","1,00","1,00","19,00","2,00","3,00","0,00"
"2,00","15,00","1,00","5.187.000,00","1,00","0,00","2,00","1,00","1,00","1,00","19,00","2,00","3,00","0,00"
"3,00","10,00","1,00","3.528.000,00","1,00","0,00","2,00","1,00","1,00","1,00","19,00","5,00","3,00","0,00"
"9,00","20,00","6,00","2.600.000,00","4,00","0,00","2,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
"4,00","7,00","2,00","2.500.000,00","4,00","0,00","2,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"9,00","25,00","6,00","800.000,00","4,00","0,00","2,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
"7,00","1,00","2,00","2.000.000,00","4,00","0,00","2,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
"7,00","3,00","2,00","2.860.000,00","4,00","0,00","2,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"3,00","12,00","2,00","4.000.000,00","1,00","0,00","3,00","1,00","1,00","14,00","19,00","2,00","3,00","0,00"
"3,00","1,00","2,00","3.000.000,00","1,00","0,00","3,00","1,00","1,00","1,00","19,00","2,00","3,00","0,00"
"4,00","15,00","1,00","3.500.000,00","1,00","0,00","2,00","1,00","1,00","14,00","19,00","1,00","3,00","0,00"
"3,00","10,00","1,00","3.000.000,00","1,00","0,00","3,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
"2,00","25,00","1,00","10.000.000,00","1,00","0,00","3,00","1,00","1,00","10,00","19,00","2,00","3,00","0,00"
"2,00","15,00","1,00","8.000.000,00","1,00","0,00","3,00","1,00","1,00","10,00","19,00","2,00","3,00","0,00"
"1,00","15,00","2,00","8.000.000,00","1,00","0,00","3,00","1,00","1,00","1,00","19,00","2,00","3,00","0,00"
"2,00","15,00","1,00","3.000.000,00","1,00","0,00","3,00","1,00","1,00","14,00","19,00","2,00","3,00","0,00"
"3,00","10,00","2,00","1.500.000,00","1,00","0,00","3,00","1,00","1,00","2,00","19,00","2,00","3,00","0,00"
"4,00","0,00","2,00","2.460.000,00","1,00","0,00","3,00","1,00","1,00","14,00","19,00","1,00","3,00","0,00"
"4,00","0,00","2,00","1.921.000,00","3,00","0,00","3,00","1,00","1,00","14,00","19,00","1,00","3,00","0,00"
"1,00","0,00","1,00","3.100.000,00","1,00","0,00","3,00","1,00","1,00","14,00","19,00","14,00","3,00","0,00"
"3,00","5,00","1,00","2.930.000,00","3,00","0,00","3,00","1,00","1,00","14,00","19,00","1,00","2,00","1,00"
"4,00","0,00","2,00","3.500.000,00","3,00","0,00","3,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"5,00","10,00","2,00","2.500.000,00","4,00","0,00","3,00","1,00","1,00","1,00","19,00","2,00","3,00","0,00"
"5,00","6,00","2,00","1.800.000,00","4,00","0,00","2,00","1,00","1,00","7,00","19,00","2,00","3,00","0,00"
"3,00","3,00","2,00","2.700.000,00","1,00","0,00","2,00","1,00","1,00","1,00","19,00","1,00","3,00","0,00"
"2,00","4,00","1,00","2.720.000,00","1,00","0,00","2,00","1,00","1,00","1,00","19,00","2,00","3,00","0,00"
