B01REC,B03LU,B03MA,B03MI,B03JU,B03VI,B03SA,B03DO,B07A,B12,B16T,B26,E01A,E01B,E01C,E01H,ED01,ED02,ED03,ED0504,ED06C,ED08,ED10,e01aimde,e01hde,pobrezai,pobnopoi
"3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","5,00","2,00","1.000.000,00","4,00","1.000.000,00","1.000.000,00","0,00","0,00","2,00","1,00","1,00","2.402,00","14,00","19,00","3,00","992.242,05","0,00","3,00","0,00"
"3,00","8,00","8,00","8,00","8,00","8,00","8,00","8,00","10,00","2,00","2.500.000,00","3,00","2.500.000,00","1.000.000,00","0,00","0,00","2,00","1,00","1,00","903,00",,"19,00","3,00","2.480.605,12","0,00","3,00","0,00"
"2,00","8,00","8,00","0,00","0,00","8,00","8,00","8,00","10,00","2,00","8.000.000,00","3,00","8.000.000,00","2.000.000,00","0,00","0,00","3,00","1,00","1,00","2.406,00","1,00","19,00","5,00","7.937.936,39","0,00","3,00","0,00"
"5,00","8,00","0,00","12,00","12,00","12,00","8,00","8,00","4,00","2,00","3.000.000,00","1,00","3.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","903,00",,"19,00","2,00","2.990.646,92","0,00","3,00","0,00"
"4,00","8,00","8,00","0,00","0,00","8,00","8,00","8,00","1,00","2,00","1.600.000,00","4,00","2.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","1.003,00",,"19,00","2,00","1.993.764,61","0,00","3,00","0,00"
"10,00","10,00","10,00","0,00","0,00","10,00","10,00","10,00","5,00","1,00","3.000.000,00","1,00","4.500.000,00","0,00","0,00","0,00","1,00","1,00","1,00","2.002,00","7,00","19,00","2,00","4.485.970,38","0,00","3,00","0,00"
"3,00","8,00","8,00","0,00","0,00","8,00","8,00","8,00","10,00","1,00","6.000.000,00","1,00","6.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","1,00","6.479.735,00","0,00","3,00","0,00"
"1,00","8,00","8,00","0,00","0,00","8,00","8,00","8,00","4,00","1,00","7.000.000,00","1,00","7.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","1,00","7.476.617,30","0,00","3,00","0,00"
"3,00","4,00","0,00","5,00","9,00","4,00","4,00","4,00","12,00","2,00","1.600.000,00","4,00","1.600.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.404,00","1,00","19,00","2,00","1.595.011,69","0,00","3,00","0,00"
"3,00","10,00","0,00","0,00","10,00","10,00","10,00","10,00","4,00","2,00","5.000.000,00","1,00","5.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","14,00","19,00","18,00","5.003.912,36","0,00","3,00","0,00"
"1,00","8,00","0,00","0,00","8,00","8,00","8,00","8,00","4,00","2,00","6.000.000,00","1,00","6.000.000,00","900.000,00","0,00","0,00","3,00","1,00","1,00","2.404,00","1,00","19,00","2,00","6.004.694,84","0,00","3,00","0,00"
"2,00","8,00","0,00","0,00","8,00","8,00","8,00","8,00","13,00","1,00","10.000.000,00","1,00","10.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","10,00","19,00","5,00","10.007.824,73","0,00","3,00","0,00"
"3,00","8,00","0,00","0,00","8,00","8,00","8,00","8,00","4,00","2,00","2.500.000,00","4,00","2.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.402,00","14,00","19,00","1,00","2.463.405,24","0,00","3,00","0,00"
"2,00","4,30","0,00","0,00","4,30","4,30","4,30","4,30","20,00","2,00","2.250.000,00","3,00","2.250.000,00","600.000,00","0,00","0,00","3,00","1,00","1,00","2.103,00","2,00","19,00","2,00","2.217.064,72","0,00","3,00","0,00"
"3,00","8,00","0,00","0,00","8,00","8,00","8,00","8,00","3,00","2,00","3.000.000,00","3,00","3.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","2,00","2.956.086,29","0,00","3,00","0,00"
"2,00","8,00","0,00","5,00","8,00","8,00","8,00","8,00","3,00","2,00","4.200.000,00","3,00","4.200.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.403,00","14,00","19,00","14,00","4.186.905,69","0,00","3,00","0,00"
"3,00","9,00","0,00","0,00","9,00","9,00","9,00","9,00","9,00","2,00","5.500.000,00","1,00","5.500.000,00","5.000.000,00","0,00","0,00","3,00","1,00","1,00","2.402,00","14,00","19,00","14,00","5.482.852,69","0,00","3,00","0,00"
"1,00","8,00","0,00","0,00","8,00","8,00","8,00","8,00","15,00","2,00","10.000.000,00","1,00","10.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.404,00","1,00","19,00","2,00","9.968.823,07","0,00","3,00","0,00"
"2,00","6,00","0,00","0,00","0,00","6,00","6,00","6,00","5,00","2,00","3.200.000,00","3,00","3.200.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.404,00","10,00","19,00","2,00","3.190.023,38","0,00","3,00","0,00"
"3,00","10,00","10,00","10,00","10,00","0,00","10,00","10,00","10,00","2,00","2.500.000,00","1,00","2.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.401,00","14,00","19,00","2,00","2.492.205,77","0,00","3,00","0,00"
"4,00","8,00","0,00","0,00","8,00","8,00","8,00","8,00","5,00","2,00","2.500.000,00","1,00","2.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","14,00","19,00","2,00","2.492.205,77","0,00","3,00","0,00"
"5,00","10,00","10,00","10,00","10,00","10,00","10,00","0,00","8,00","2,00","2.500.000,00","1,00","2.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","903,00",,"19,00","14,00","2.492.205,77","0,00","3,00","0,00"
"7,00","8,00","0,00","10,00","10,00","8,00","8,00","8,00","20,00","2,00","2.500.000,00","1,00","2.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","606,00",,"19,00","2,00","2.492.205,77","0,00","3,00","0,00"
"9,00","8,00","8,00","0,00","8,00","8,00","8,00","8,00","5,00","2,00","2.500.000,00","3,00","2.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","409,00",,"19,00","2,00","2.492.205,77","0,00","3,00","0,00"
"9,00","8,00","0,00","8,00","8,00","8,00","8,00","8,00","18,00","6,00","2.000.000,00","4,00","2.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","409,00",,"19,00","2,00","1.993.764,61","0,00","3,00","0,00"
"5,00","8,00","8,00","8,00","8,00","8,00","0,00","8,00","6,00","2,00","2.500.000,00","3,00","2.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","409,00",,"19,00","2,00","2.492.205,77","0,00","3,00","0,00"
"3,00","10,00","0,00","10,00","10,00","10,00","10,00","10,00","0,00","2,00","3.500.000,00","3,00","3.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.402,00","14,00","19,00","2,00","3.489.088,08","0,00","3,00","0,00"
"2,00","12,00","0,00","7,00","12,00","12,00","12,00","12,00","16,00","2,00","7.000.000,00","2,00","7.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","1,00","6.978.176,15","0,00","3,00","0,00"
"3,00","8,00","0,00","8,00","8,00","8,00","8,00","8,00","0,00","2,00","2.200.000,00","1,00","2.200.000,00","0,00","0,00","0,00","3,00","1,00","1,00","902,00",,"19,00","2,00","2.193.141,08","0,00","3,00","0,00"
"7,00","8,00","8,00","8,00","0,00","6,00","8,00","8,00","4,00","2,00","2.000.000,00","3,00","2.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","903,00",,"19,00","2,00","2.000.000,00","0,00","3,00","0,00"
"2,00","12,00","12,00","12,00","0,00","0,00","12,00","12,00","1,00","2,00","5.000.000,00","1,00","5.000.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.404,00","14,00","19,00","2,00","5.000.000,00","0,00","3,00","0,00"
"3,00","10,00","10,00","10,00","0,00","10,00","10,00","10,00","0,00","2,00","4.000.000,00","4,00","4.000.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.405,00","14,00","19,00","2,00","4.000.000,00","0,00","3,00","0,00"
"1,00","8,00","8,00","8,00","0,00","0,00","8,00","8,00","10,00","2,00","3.000.000,00","1,00","3.000.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.405,00","1,00","19,00","2,00","3.000.000,00","0,00","3,00","0,00"
"9,00","10,00","10,00","10,00","0,00","10,00","10,00","10,00","25,00","6,00","1.200.000,00","4,00","1.720.000,00","0,00","0,00","0,00","2,00","1,00","1,00","1.503,00",,"19,00","2,00","1.720.000,00","0,00","3,00","0,00"
"3,00","10,00","10,00","0,00","0,00","10,00","10,00","10,00","25,00","2,00","2.500.000,00","1,00","3.700.000,00","0,00","0,00","0,00","3,00","1,00","1,00","606,00",,"19,00","1,00","3.657.109,74","0,00","3,00","0,00"
"3,00","10,00","10,00","0,00","0,00","10,00","10,00","10,00","5,00","2,00","2.000.000,00","4,00","2.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","903,00",,"19,00","1,00","1.976.816,07","0,00","3,00","0,00"
"4,00","6,00","6,00","0,00","6,00","6,00","6,00","6,00","0,00","2,00","1.800.000,00","3,00","1.800.000,00","0,00","0,00","0,00","3,00","1,00","1,00","903,00",,"19,00","1,00","1.779.134,47","0,00","3,00","0,00"
"2,00","6,00","6,00","0,00","0,00","6,00","6,00","6,00","16,00","1,00","5.000.000,00","1,00","5.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","3,00","4.942.040,19","0,00","3,00","0,00"
"1,00","8,00","0,00","8,00","8,00","8,00","8,00","8,00","3,00","2,00","2.680.000,00","4,00","2.910.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.401,00","14,00","19,00","2,00","2.876.267,39","0,00","3,00","0,00"
"7,00","12,00","12,00","0,00","12,00","12,00","12,00","12,00","6,00","2,00","2.500.000,00","1,00","2.500.000,00","0,00","0,00","0,00","2,00","1,00","1,00","306,00",,"19,00","1,00","2.471.020,09","0,00","2,00","1,00"
"2,00","9,00","9,00","0,00","6,00","9,00","9,00","9,00","0,00","2,00","2.500.000,00","1,00","3.220.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","2,00","3.182.673,88","0,00","3,00","0,00"
