B01REC,B03LU,B03MA,B03MI,B03JU,B03VI,B03SA,B03DO,B07A,B12,B16T,B26,E01A,E01B,E01C,E01H,ED01,ED02,ED03,ED0504,ED06C,ED08,ED10,e01aimde,e01hde,pobrezai,pobnopoi
"5,00","0,00","9,00","9,00","0,00","0,00","0,00","9,00","0,00","2,00","2.200.000,00","1,00","2.200.000,00","0,00","0,00","0,00","2,00","1,00","1,00","409,00",,"19,00","2,00","2.203.445,58","0,00","3,00","0,00"
"3,00","8,00","8,00","0,00","0,00","8,00","8,00","8,00","1,00","1,00","1.000.000,00","2,00","1.000.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.404,00","1,00","19,00","15,00","1.001.566,17","0,00","3,00","0,00"
"9,00","4,00","4,00","0,00","0,00","4,00","4,00","4,00","4,00","6,00","1.200.000,00","4,00","1.200.000,00","0,00","0,00","0,00","2,00","1,00","1,00","305,00",,"19,00","2,00","1.201.879,41","0,00","3,00","0,00"
"7,00","0,00","8,00","0,00","8,00","8,00","8,00","8,00","0,00","2,00","1.200.000,00","4,00","1.200.000,00","0,00","0,00","0,00","1,00","1,00","1,00","409,00",,"19,00","1,00","1.201.879,41","0,00","3,00","0,00"
"7,00","0,00","4,00","0,00","5,00","8,00","8,00","8,00","10,00","2,00","1.700.000,00","4,00","2.300.000,00","0,00","0,00","0,00","3,00","1,00","1,00","705,00",,"19,00","2,00","2.292.829,31","0,00","3,00","0,00"
"5,00","4,00","4,00","0,00","0,00","4,00","4,00","4,00","0,00","2,00","600.000,00","4,00","600.000,00","0,00","0,00","0,00","3,00","1,00","1,00","306,00",,"19,00","15,00","598.129,38","0,00","3,00","0,00"
"9,00","5,00","5,00","0,00","5,00","5,00","5,00","5,00","0,00","6,00","300.000,00","4,00","300.000,00","0,00","0,00","0,00","1,00","1,00","1,00","306,00",,"19,00","1,00","299.064,69","0,00","3,00","0,00"
"9,00","6,00","6,00","0,00","6,00","6,00","6,00","6,00","2,00","2,00","1.000.000,00","4,00","1.000.000,00","0,00","0,00","0,00","2,00","1,00","1,00","304,00",,"19,00","1,00","996.882,31","0,00","2,00","1,00"
"6,00","6,00","6,00","8,00","5,00","2,00","5,00","6,00","4,00","2,00","1.600.000,00","1,00","1.600.000,00","250.000,00","0,00","0,00","1,00","1,00","1,00","306,00",,"19,00","15,00","1.587.587,28","0,00","3,00","0,00"
"8,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2,00","1.500.000,00","4,00","2.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","14,00","19,00","1,00","1.984.484,10","0,00","3,00","0,00"
"9,00","0,00","4,00","0,00","4,00","0,00","4,00","0,00","1,00","6,00","360.000,00","4,00","360.000,00","0,00","0,00","0,00","3,00","1,00","1,00","303,00",,"19,00","6,00","357.207,14","0,00","3,00","0,00"
"5,00","12,00","8,00","12,00","8,00","0,00","12,00","8,00","11,00","1,00","4.322.000,00","1,00","4.959.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.302,00","6,00","19,00","5,00","4.920.528,32","0,00","3,00","0,00"
"9,00","6,00","6,00","0,00","6,00","0,00","6,00","6,00","12,00","2,00","1.800.000,00","4,00","1.800.000,00","0,00","0,00","0,00","1,00","1,00","1,00","306,00",,"19,00","1,00","1.786.035,69","0,00","2,00","1,00"
"9,00","0,00","8,00","8,00","0,00","0,00","0,00","8,00","1,00","2,00","800.000,00","4,00","800.000,00","0,00","0,00","0,00","1,00","1,00","1,00","303,00",,"19,00","14,00","793.793,64","0,00","3,00","0,00"
"8,00","2,00","9,00","9,00","9,00","0,00","6,00","0,00","3,00","2,00","2.644.000,00","1,00","3.244.000,00","0,00","0,00","0,00","2,00","1,00","1,00","409,00",,"19,00","1,00","3.233.886,20","0,00","3,00","0,00"
"8,00","5,00","8,00","0,00","4,00","8,00","8,00","8,00","0,00","2,00","2.220.000,00","1,00","2.700.000,00","0,00","0,00","0,00","1,00","1,00","1,00","303,00",,"19,00","1,00","2.700.000,00","0,00","3,00","0,00"
"1,00","8,30","8,30","0,00","4,30","8,30","8,30","8,30","0,00","2,00","2.895.000,00","1,00","4.310.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.404,00","14,00","19,00","14,00","4.310.000,00","0,00","3,00","0,00"
"3,00","8,00","8,00","0,00","0,00","8,00","8,00","8,00","1,00","2,00","4.582.000,00","1,00","5.618.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.404,00","1,00","19,00","5,00","5.618.000,00","0,00","3,00","0,00"
"9,00","8,00","8,00","0,00","0,00","8,00","8,00","8,00","3,00","2,00","2.000.000,00","1,00","2.000.000,00","0,00","0,00","0,00","2,00","1,00","1,00","407,00",,"19,00","2,00","2.000.000,00","0,00","3,00","0,00"
"9,00","8,00","8,00","0,00","4,00","0,00","8,00","8,00","5,00","2,00","1.200.000,00","4,00","1.800.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.403,00","14,00","19,00","8,00","1.773.651,77","0,00","3,00","0,00"
"9,00","8,00","8,00","0,00","4,00","8,00","8,00","8,00","4,00","6,00","800.000,00","4,00","1.100.000,00","0,00","0,00","0,00","2,00","1,00","1,00","903,00",,"19,00","2,00","1.083.898,31","0,00","3,00","0,00"
"9,00","8,00","8,00","0,00","4,00","0,00","8,00","8,00","1,00","2,00","2.000.000,00","4,00","2.000.000,00","0,00","0,00","0,00","1,00","1,00","1,00","903,00",,"19,00","1,00","1.970.724,19","0,00","3,00","0,00"
"9,00","9,00","9,00","0,00","9,00","9,00","9,00","9,00","10,00","6,00","1.000.000,00","4,00","1.300.000,00","0,00","0,00","0,00","3,00","1,00","1,00","306,00",,"19,00","1,00","1.302.036,02","0,00","3,00","0,00"
"7,00","8,00","8,00","0,00","8,00","8,00","8,00","8,00","7,00","2,00","3.500.000,00","4,00","3.500.000,00","0,00","0,00","0,00","4,00","1,00","1,00","306,00",,"19,00","15,00","3.505.481,60","0,00","3,00","0,00"
"8,00","8,00","8,00","0,00","4,00","8,00","8,00","8,00","12,00","2,00","3.000.000,00","1,00","3.000.000,00","0,00","0,00","0,00","4,00","1,00","1,00","306,00",,"19,00","6,00","3.004.698,51","0,00","3,00","0,00"
"8,00","12,00","12,00","8,00","0,00","12,00","12,00","12,00","3,00","2,00","3.500.000,00","1,00","4.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","903,00",,"19,00","14,00","4.006.264,68","0,00","3,00","0,00"
"8,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","3,00","2,00","3.000.000,00","4,00","3.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","408,00",,"19,00","2,00","3.004.698,51","0,00","3,00","0,00"
"1,00","8,00","8,00","0,00","8,00","8,00","8,00","8,00","15,00","2,00","7.000.000,00","2,00","10.000.000,00","0,00","0,00","0,00","4,00","1,00","1,00","306,00",,"19,00","2,00","10.015.661,71","0,00","3,00","0,00"
"8,00","0,00","0,00","0,00","12,00","12,00","12,00","12,00","5,00","2,00","3.000.000,00","4,00","3.000.000,00","0,00","0,00","0,00","1,00","1,00","1,00","305,00",,"19,00","2,00","2.990.646,92","0,00","3,00","0,00"
"9,00","5,00","5,00","3,00","5,00","5,00","5,00","5,00","0,00","2,00","1.600.000,00","4,00","2.200.000,00","0,00","0,00","0,00","1,00","2,00","1,00","301,00",,"19,00","1,00","2.193.141,08","0,00","2,00","1,00"
"9,00","9,00","9,00","0,00","5,00","9,00","9,00","9,00","0,00","2,00","1.760.000,00","4,00","1.760.000,00","0,00","0,00","0,00","1,00","1,00","1,00","1.602,00",,"19,00","15,00","1.754.512,86","0,00","3,00","0,00"
"5,00","12,00","12,00","12,00","12,00","12,00","12,00","12,00","3,00","2,00","2.600.000,00","3,00","2.600.000,00","0,00","0,00","0,00","1,00","1,00","1,00","306,00",,"19,00","6,00","2.591.894,00","0,00","2,00","1,00"
"9,00","8,00","8,00","0,00","4,00","8,00","8,00","8,00","3,00","2,00","1.480.000,00","4,00","1.480.000,00","0,00","0,00","0,00","1,00","1,00","1,00","409,00",,"19,00","1,00","1.475.385,81","0,00","3,00","0,00"
"8,00","10,00","10,00","0,00","10,00","10,00","10,00","10,00","10,00","2,00","2.500.000,00","4,00","3.500.000,00","0,00","0,00","0,00","2,00","1,00","1,00","304,00",,"19,00","2,00","3.489.088,08","0,00","3,00","0,00"
"3,00","0,00","12,00","12,00","0,00","8,00","0,00","8,00","5,00","1,00","3.000.000,00","3,00","3.000.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.002,00","7,00","19,00","2,00","3.004.698,51","0,00","3,00","0,00"
"4,00","8,00","8,00","8,00","0,00","4,00","8,00","8,00","22,00","2,00","3.500.000,00","3,00","3.500.000,00","800.000,00","0,00","0,00","3,00","1,00","1,00","503,00",,"19,00","1,00","3.505.481,60","0,00","3,00","0,00"
"7,00","8,00","3,00","8,00","8,00","8,00","8,00","0,00","13,00","2,00","1.600.000,00","4,00","2.080.000,00","0,00","0,00","0,00","1,00","1,00","1,00","306,00",,"19,00","2,00","2.049.553,16","0,00","3,00","0,00"
"2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","3,00","1,00","2.850.000,00","1,00","2.850.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.103,00","2,00","19,00","2,00","2.808.281,97","0,00","3,00","0,00"
"9,00","12,00","0,00","12,00","12,00","12,00","12,00","0,00","13,00","2,00","1.600.000,00","4,00","2.225.000,00","0,00","0,00","0,00","1,00","1,00","1,00","305,00",,"19,00","15,00","2.192.430,66","0,00","3,00","0,00"
"3,00","4,00","0,00","12,00","12,00","10,00","10,00","0,00","12,00","2,00","5.000.000,00","1,00","5.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.404,00","14,00","19,00","2,00","4.926.810,48","0,00","3,00","0,00"
"1,00","4,00","0,00","10,00","10,00","10,00","10,00","0,00","10,00","2,00","3.500.000,00","4,00","4.500.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.402,00","14,00","19,00","2,00","4.434.129,43","0,00","3,00","0,00"
"9,00","5,00","0,00","5,00","5,00","5,00","5,00","0,00","22,00","6,00","700.000,00","4,00","1.012.000,00","0,00","0,00","0,00","1,00","1,00","1,00","304,00",,"19,00","6,00","997.186,44","0,00","3,00","0,00"
"9,00","5,00","0,00","0,00","0,00","5,00","5,00","0,00","0,00","6,00","720.000,00","4,00","720.000,00","0,00","0,00","0,00","2,00","1,00","1,00","305,00",,"19,00","6,00","717.755,26","0,00","3,00","0,00"
"2,00","4,00","4,00","0,00","0,00","4,00","4,00","4,00","4,00","1,00","2.870.000,00","1,00","2.870.000,00","1.566.494,00","200.000,00","0,00","3,00","1,00","1,00","2.404,00","1,00","19,00","2,00","2.861.052,22","0,00","3,00","0,00"
"5,00","12,00","12,00","12,00","12,00","12,00","12,00","12,00","2,00","2,00","2.600.000,00","4,00","2.600.000,00","0,00","0,00","0,00","1,00","1,00","1,00","409,00",,"19,00","2,00","2.591.894,00","0,00","3,00","0,00"
"9,00","8,00","0,00","4,00","0,00","0,00","0,00","8,00","6,00","2,00","1.600.000,00","4,00","1.600.000,00","0,00","0,00","0,00","1,00","1,00","1,00","306,00",,"19,00","2,00","1.576.579,35","0,00","2,00","1,00"
"9,00","8,00","0,00","5,00","8,00","8,00","8,00","8,00","5,00","2,00","2.200.000,00","4,00","2.200.000,00","0,00","0,00","0,00","1,00","1,00","1,00","1.003,00",,"19,00","14,00","2.220.836,62","0,00","3,00","0,00"
"7,00","12,00","0,00","12,00","12,00","12,00","12,00","12,00","1,00","2,00","2.880.000,00","4,00","2.880.000,00","0,00","0,00","0,00","2,00","1,00","1,00","903,00",,"19,00","15,00","2.907.277,03","0,00","3,00","0,00"
"9,00","8,00","0,00","4,00","8,00","8,00","0,00","0,00","0,00","2,00","1.200.000,00","4,00","1.200.000,00","0,00","0,00","0,00","1,00","1,00","1,00","407,00",,"19,00","15,00","1.211.365,43","0,00","2,00","1,00"
"9,00","5,00","0,00","5,00","0,00","0,00","5,00","0,00","11,00","6,00","400.000,00","4,00","400.000,00","450.000,00","0,00","0,00","2,00","1,00","1,00","2.404,00","1,00","19,00","2,00","395.363,22","0,00","3,00","0,00"
"5,00","8,00","8,00","8,00","8,00","0,00","8,00","8,00","6,00","2,00","2.500.000,00","3,00","2.500.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.404,00","1,00","19,00","2,00","2.471.020,09","0,00","3,00","0,00"
"5,00","8,00","8,00","8,00","0,00","8,00","8,00","8,00","3,00","2,00","2.000.000,00","4,00","2.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","902,00",,"19,00","14,00","2.000.000,00","0,00","3,00","0,00"
"5,00","8,00","8,00","0,00","8,00","8,00","8,00","8,00","1,00","2,00","2.000.000,00","4,00","2.000.000,00","0,00","0,00","0,00","2,00","1,00","1,00","903,00",,"19,00","14,00","2.000.000,00","0,00","3,00","0,00"
"5,00","12,00","12,00","12,00","12,00","12,00","12,00","12,00","5,00","2,00","2.500.000,00","4,00","3.500.000,00","0,00","0,00","0,00","2,00","1,00","1,00","306,00",,"19,00","1,00","3.500.000,00","0,00","3,00","0,00"
"5,00","12,00","12,00","12,00","12,00","12,00","12,00","12,00","5,00","2,00","2.500.000,00","4,00","3.500.000,00","0,00","0,00","0,00","2,00","1,00","1,00","306,00",,"19,00","2,00","3.500.000,00","0,00","3,00","0,00"
"5,00","12,00","12,00","12,00","12,00","12,00","12,00","12,00","5,00","2,00","2.500.000,00","4,00","3.500.000,00","0,00","0,00","0,00","2,00","1,00","1,00","306,00",,"19,00","2,00","3.500.000,00","0,00","3,00","0,00"
"1,00","8,00","8,00","8,00","8,00","0,00","0,00","8,00","11,00","2,00","10.500.000,00","1,00","10.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.401,00","14,00","19,00","2,00","10.500.000,00","0,00","3,00","0,00"
"2,00","8,00","0,00","5,00","8,00","8,00","8,00","8,00","1,00","2,00","3.000.000,00","3,00","3.000.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.405,00","1,00","19,00","2,00","2.976.726,14","0,00","3,00","0,00"
"9,00","10,00","0,00","5,00","0,00","0,00","0,00","0,00","10,00","2,00","240.000,00","4,00","1.000.000,00","0,00","0,00","0,00","1,00","2,00","1,00","302,00",,"19,00","14,00","992.242,05","0,00","1,00","1,00"
"7,00","5,00","0,00","0,00","12,00","10,00","8,00","8,00","15,00","2,00","1.400.000,00","4,00","1.400.000,00","0,00","0,00","0,00","2,00","1,00","1,00","903,00",,"19,00","2,00","1.389.138,87","0,00","2,00","1,00"
"7,00","9,00","0,00","5,00","9,00","9,00","9,00","9,00","7,00","2,00","3.000.000,00","4,00","3.000.000,00","0,00","0,00","0,00","1,00","1,00","1,00","306,00",,"19,00","6,00","2.976.726,14","0,00","2,00","1,00"
"9,00","0,00","0,00","4,00","8,00","8,00","0,00","0,00","4,00","2,00","1.000.000,00","4,00","1.000.000,00","0,00","500.000,00","0,00","2,00","1,00","1,00","306,00",,"19,00","2,00","992.242,05","0,00","3,00","0,00"
"7,00","0,00","5,00","8,00","8,00","8,00","8,00","8,00","5,00","2,00","1.200.000,00","4,00","1.200.000,00","0,00","0,00","0,00","1,00","1,00","1,00","305,00",,"19,00","1,00","1.196.258,77","0,00","2,00","1,00"
"9,00","0,00","4,00","8,00","8,00","8,00","8,00","8,00","11,00","2,00","2.580.000,00","3,00","2.580.000,00","0,00","0,00","0,00","2,00","1,00","1,00","409,00",,"19,00","2,00","2.571.956,35","0,00","3,00","0,00"
"9,00","0,00","5,00","5,00","5,00","5,00","5,00","0,00","15,00","6,00","850.000,00","4,00","850.000,00","0,00","0,00","0,00","1,00","1,00","1,00","503,00",,"19,00","1,00","847.349,96","0,00","2,00","1,00"
"9,00","0,00","5,00","8,00","8,00","8,00","8,00","0,00","22,00","2,00","1.800.000,00","1,00","2.200.000,00","0,00","0,00","0,00","1,00","1,00","1,00","305,00",,"19,00","1,00","2.193.141,08","0,00","2,00","1,00"
"7,00","0,00","0,00","8,00","8,00","8,00","8,00","8,00","6,00","2,00","1.600.000,00","4,00","1.600.000,00","0,00","0,00","0,00","1,00","1,00","1,00","901,00",,"19,00","2,00","1.595.011,69","0,00","3,00","0,00"
"2,00","0,00","0,00","0,00","10,00","8,00","8,00","0,00","13,00","1,00","4.700.000,00","1,00","5.500.000,00","0,00","0,00","0,00","1,00","1,00","1,00","2.404,00","1,00","19,00","2,00","5.482.852,69","0,00","3,00","0,00"
"2,00","0,00","0,00","4,00","8,00","8,00","8,00","0,00","9,00","1,00","6.200.000,00","1,00","6.200.000,00","0,00","0,00","0,00","1,00","1,00","1,00","2.404,00","1,00","19,00","2,00","6.180.670,30","0,00","3,00","0,00"
"9,00","10,00","10,00","0,00","5,00","10,00","10,00","10,00","4,00","2,00","1.920.000,00","4,00","1.920.000,00","0,00","0,00","0,00","1,00","1,00","1,00","306,00",,"19,00","6,00","1.920.000,00","0,00","3,00","0,00"
"9,00","12,00","12,00","12,00","12,00","12,00","12,00","12,00","0,00","2,00","400.000,00","4,00","600.000,00","0,00","0,00","0,00","2,00","1,00","1,00","306,00",,"19,00","1,00","593.044,82","0,00","3,00","0,00"
"9,00","8,00","8,00","8,00","8,00","0,00","5,00","8,00","9,00","2,00","1.800.000,00","4,00","2.800.000,00","0,00","0,00","0,00","1,00","1,00","1,00","408,00",,"19,00","2,00","2.767.542,50","0,00","2,00","1,00"
"8,00","12,00","12,00","12,00","12,00","0,00","12,00","12,00","1,00","2,00","2.550.000,00","1,00","2.550.000,00","0,00","0,00","0,00","2,00","1,00","1,00","306,00",,"19,00","6,00","2.520.440,50","0,00","3,00","0,00"
"9,00","8,00","8,00","8,00","8,00","0,00","8,00","8,00","4,00","2,00","600.000,00","4,00","600.000,00","0,00","0,00","0,00","2,00","1,00","1,00","306,00",,"19,00","1,00","593.044,82","0,00","3,00","0,00"
"9,00","12,00","12,00","12,00","12,00","12,00","12,00","12,00","0,00","2,00","2.400.000,00","4,00","2.400.000,00","0,00","0,00","0,00","2,00","1,00","1,00","306,00",,"19,00","1,00","2.372.179,29","0,00","3,00","0,00"
"8,00","9,00","9,00","9,00","9,00","0,00","5,00","9,00","6,00","2,00","2.000.000,00","1,00","2.000.000,00","0,00","0,00","0,00","1,00","1,00","1,00","306,00",,"19,00","2,00","1.976.816,07","0,00","2,00","1,00"
"8,00","0,00","0,00","0,00","10,00","10,00","10,00","10,00","10,00","2,00","3.000.000,00","1,00","3.980.000,00","0,00","0,00","0,00","2,00","1,00","1,00","306,00",,"19,00","15,00","3.967.591,58","0,00","3,00","0,00"
"8,00","0,00","0,00","0,00","10,00","10,00","10,00","10,00","10,00","2,00","3.500.000,00","1,00","4.380.000,00","0,00","0,00","0,00","1,00","1,00","1,00","407,00",,"19,00","2,00","4.366.344,51","0,00","3,00","0,00"
"9,00","8,00","0,00","8,00","8,00","8,00","8,00","8,00","3,00","2,00","900.000,00","4,00","1.500.000,00","0,00","0,00","0,00","1,00","1,00","1,00","407,00",,"19,00","1,00","1.495.323,46","0,00","3,00","0,00"
"8,00","0,00","0,00","0,00","12,00","12,00","12,00","12,00","0,00","2,00","2.500.000,00","4,00","2.500.000,00","0,00","0,00","0,00","1,00","1,00","1,00","2.405,00","1,00","19,00","2,00","2.492.205,77","0,00","3,00","0,00"
"8,00","8,00","0,00","8,00","8,00","8,00","8,00","8,00","3,00","2,00","2.500.000,00","3,00","3.300.000,00","0,00","0,00","0,00","1,00","1,00","1,00","408,00",,"19,00","2,00","3.289.711,61","0,00","3,00","0,00"
"3,00","8,00","0,00","8,00","8,00","8,00","8,00","8,00","20,00","2,00","4.000.000,00","1,00","4.100.000,00","0,00","0,00","0,00","3,00","1,00","1,00","706,00",,"19,00","2,00","4.138.831,89","0,00","3,00","0,00"
"4,00","6,00","0,00","0,00","6,00","6,00","6,00","6,00","6,00","1,00","2.400.000,00","1,00","2.400.000,00","0,00","0,00","0,00","3,00","1,00","1,00","409,00",,"19,00","15,00","2.422.730,86","0,00","3,00","0,00"
"9,00","3,00","0,00","3,00","3,00","3,00","3,00","3,00","13,00","6,00","2.500.000,00","4,00","2.500.000,00","750.000,00","0,00","0,00","3,00","1,00","1,00","407,00",,"19,00","14,00","2.523.677,98","0,00","3,00","0,00"
"2,00","8,00","0,00","0,00","8,00","8,00","8,00","8,00","10,00","2,00","6.500.000,00","3,00","6.500.000,00","150.000,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","2,00","6.561.562,75","0,00","3,00","0,00"
"7,00","9,00","0,00","5,00","9,00","9,00","9,00","3,00","3,00","2,00","2.550.330,00","3,00","2.550.330,00","0,00","0,00","0,00","2,00","1,00","1,00","903,00",,"19,00","2,00","2.574.484,67","0,00","3,00","0,00"
"8,00","11,00","11,00","11,00","0,00","5,00","11,00","11,00","14,00","2,00","3.400.000,00","4,00","3.400.000,00","300.000,00","0,00","0,00","3,00","1,00","1,00","306,00",,"19,00","2,00","3.416.025,14","0,00","3,00","0,00"
"9,00","8,00","8,00","8,00","0,00","0,00","8,00","8,00","2,00","6,00","1.400.000,00","4,00","1.700.000,00","0,00","0,00","0,00","3,00","1,00","1,00","1.003,00",,"19,00","14,00","1.708.012,57","0,00","3,00","0,00"
"3,00","8,00","8,00","8,00","0,00","0,00","8,00","8,00","10,00","2,00","2.500.000,00","1,00","2.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","903,00",,"19,00","2,00","2.511.783,19","0,00","3,00","0,00"
"2,00","8,00","8,00","8,00","0,00","0,00","8,00","8,00","0,00","2,00","5.000.000,00","1,00","5.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","2,00","5.023.566,38","0,00","3,00","0,00"
"9,00","0,00","0,00","2,00","0,00","2,00","0,00","0,00","3,00","6,00","800.000,00","4,00","800.000,00","700.000,00","2.000.000,00","0,00","3,00","1,00","1,00","903,00",,"19,00","15,00","788.289,68","0,00","3,00","0,00"
"7,00","10,00","6,00","10,00","10,00","10,00","10,00","10,00","28,00","2,00","2.000.000,00","1,00","2.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","606,00",,"19,00","2,00","2.003.132,34","0,00","3,00","0,00"
"9,00","4,00","0,00","0,00","4,00","0,00","4,00","0,00","2,00","6,00","500.000,00","4,00","500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","306,00",,"19,00","15,00","500.783,09","0,00","1,00","1,00"
"7,00","8,00","0,00","8,00","8,00","8,00","8,00","8,00","0,00","2,00","2.000.000,00","3,00","2.000.000,00","0,00","0,00","0,00","1,00","1,00","1,00","903,00",,"19,00","2,00","2.003.132,34","0,00","3,00","0,00"
"9,00","5,00","0,00","0,00","4,00","0,00","5,00","0,00","15,00","6,00","500.000,00","4,00","500.000,00","0,00","0,00","0,00","2,00","1,00","1,00","407,00",,"19,00","1,00","500.783,09","0,00","2,00","1,00"
"9,00","0,00","10,00","10,00","10,00","10,00","0,00","10,00","4,00","2,00","2.160.000,00","4,00","2.160.000,00","0,00","0,00","0,00","2,00","1,00","1,00","901,00",,"19,00","2,00","2.128.382,13","0,00","3,00","0,00"
"9,00","0,00","8,00","8,00","8,00","8,00","0,00","5,00","10,00","2,00","2.200.000,00","4,00","2.200.000,00","0,00","0,00","0,00","2,00","1,00","1,00","306,00",,"19,00","1,00","2.167.796,61","0,00","3,00","0,00"
"9,00","2,00","2,00","2,00","2,00","2,00","0,00","0,00","16,00","2,00","650.000,00","4,00","650.000,00","360.000,00","0,00","0,00","1,00","1,00","1,00","306,00",,"19,00","1,00","640.485,36","0,00","2,00","1,00"
"9,00","0,00","0,00","0,00","8,00","0,00","0,00","4,00","16,00","2,00","1.080.000,00","4,00","1.080.000,00","0,00","0,00","0,00","1,00","1,00","1,00","302,00",,"19,00","14,00","1.064.191,06","0,00","3,00","0,00"
"9,00","8,00","8,00","8,00","8,00","8,00","0,00","4,00","0,00","2,00","2.200.000,00","1,00","2.200.000,00","0,00","0,00","0,00","1,00","1,00","1,00","409,00",,"19,00","14,00","2.167.796,61","0,00","3,00","0,00"
"8,00","8,00","0,00","8,00","8,00","8,00","8,00","8,00","4,00","2,00","2.600.000,00","4,00","2.600.000,00","0,00","0,00","0,00","1,00","1,00","1,00","304,00",,"19,00","2,00","2.569.860,90","0,00","3,00","0,00"
"9,00","5,00","0,00","5,00","5,00","5,00","5,00","5,00","11,00","6,00","900.000,00","4,00","900.000,00","0,00","0,00","0,00","1,00","1,00","1,00","306,00",,"19,00","2,00","889.567,23","0,00","3,00","0,00"
"4,00","9,00","0,00","5,00","9,00","9,00","9,00","9,00","4,00","2,00","2.300.000,00","1,00","2.300.000,00","0,00","0,00","0,00","1,00","1,00","1,00","2.405,00","14,00","19,00","18,00","2.273.338,49","0,00","3,00","0,00"
"6,00","6,00","6,00","0,00","0,00","0,00","5,00","6,00","2,00","2,00","1.600.000,00","4,00","1.600.000,00","0,00","0,00","0,00","1,00","1,00","1,00","409,00",,"19,00","1,00","1.587.587,28","0,00","3,00","0,00"
"9,00","0,00","4,00","0,00","4,00","4,00","4,00","4,00","10,00","6,00","500.000,00","4,00","800.000,00","0,00","0,00","0,00","2,00","1,00","1,00","303,00",,"19,00","12,00","793.793,64","0,00","3,00","0,00"
"7,00","0,00","8,00","8,00","8,00","8,00","0,00","4,00","13,00","2,00","2.370.000,00","1,00","2.370.000,00","0,00","0,00","0,00","3,00","1,00","1,00","1.002,00",,"19,00","2,00","2.335.308,17","0,00","2,00","1,00"
"9,00","6,30","8,00","8,00","8,00","8,00","0,00","8,00","4,00","2,00","2.200.000,00","1,00","2.200.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.402,00","14,00","19,00","1,00","2.167.796,61","0,00","3,00","0,00"
"4,00","0,00","8,00","8,00","8,00","8,00","0,00","5,00","0,00","2,00","2.500.000,00","1,00","2.500.000,00","0,00","0,00","0,00","4,00","1,00","1,00","903,00",,"19,00","12,00","2.463.405,24","0,00","3,00","0,00"
"3,00","0,00","9,00","9,00","9,00","9,00","0,00","5,00","2,00","2,00","4.000.000,00","3,00","4.000.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.405,00","1,00","19,00","2,00","3.941.448,38","0,00","3,00","0,00"
"7,00","0,00","9,00","9,00","9,00","9,00","0,00","0,00","11,00","2,00","2.800.000,00","3,00","2.800.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.405,00","1,00","19,00","2,00","2.759.013,87","0,00","3,00","0,00"
"3,00","0,00","8,00","8,00","8,00","8,00","0,00","4,00","20,00","2,00","2.500.000,00","3,00","2.500.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.404,00","1,00","19,00","1,00","2.463.405,24","0,00","3,00","0,00"
"4,00","8,00","8,00","8,00","0,00","8,00","8,00","8,00","0,00","2,00","2.500.000,00","3,00","2.500.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.404,00","1,00","19,00","2,00","2.463.405,24","0,00","3,00","0,00"
"2,00","0,00","8,00","8,00","8,00","8,00","0,00","0,00","3,00","2,00","3.000.000,00","3,00","3.000.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.405,00","1,00","19,00","2,00","2.956.086,29","0,00","3,00","0,00"
"9,00","0,00","9,00","9,00","9,00","9,00","0,00","4,00","2,00","2,00","2.580.000,00","3,00","2.580.000,00","0,00","0,00","0,00","2,00","1,00","1,00","903,00",,"19,00","2,00","2.542.234,21","0,00","3,00","0,00"
"4,00","0,00","8,00","8,00","8,00","8,00","0,00","4,00","22,00","2,00","3.200.000,00","1,00","3.200.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.403,00","14,00","19,00","3,00","3.153.158,71","0,00","3,00","0,00"
